-0.250563, -0.250563, -0.935113
-0.250719, -0.248212, -0.935698
-0.250875, -0.245857, -0.936278
-0.251029, -0.243498, -0.936853
-0.251182, -0.241134, -0.937423
-0.251333, -0.238767, -0.937988
-0.251483, -0.236394, -0.938549
-0.251632, -0.234018, -0.939104
-0.25178, -0.231637, -0.939655
-0.251926, -0.229253, -0.9402
-0.252071, -0.226864, -0.940741
-0.252214, -0.224471, -0.941276
-0.252356, -0.222074, -0.941807
-0.252497, -0.219672, -0.942332
-0.252636, -0.217267, -0.942852
-0.252774, -0.214858, -0.943367
-0.252911, -0.212445, -0.943877
-0.253046, -0.210028, -0.944381
-0.25318, -0.207608, -0.94488
-0.253312, -0.205183, -0.945374
-0.253443, -0.202755, -0.945863
-0.253573, -0.200323, -0.946347
-0.253701, -0.197887, -0.946825
-0.253828, -0.195447, -0.947297
-0.253953, -0.193004, -0.947764
-0.254076, -0.190557, -0.948226
-0.254199, -0.188107, -0.948683
-0.25432, -0.185653, -0.949134
-0.254439, -0.183196, -0.949579
-0.254557, -0.180735, -0.950019
-0.254673, -0.178271, -0.950453
-0.254788, -0.175804, -0.950882
-0.254901, -0.173333, -0.951305
-0.255013, -0.170859, -0.951722
-0.255124, -0.168382, -0.952134
-0.255232, -0.165901, -0.95254
-0.25534, -0.163417, -0.952941
-0.255446, -0.160931, -0.953336
-0.25555, -0.158441, -0.953725
-0.255652, -0.155948, -0.954108
-0.255754, -0.153452, -0.954485
-0.255853, -0.150953, -0.954857
-0.255951, -0.148452, -0.955223
-0.256048, -0.145947, -0.955583
-0.256143, -0.14344, -0.955937
-0.256236, -0.14093, -0.956285
-0.256328, -0.138417, -0.956628
-0.256418, -0.135901, -0.956964
-0.256506, -0.133383, -0.957295
-0.256593, -0.130863, -0.957619
-0.256679, -0.128339, -0.957938
-0.256762, -0.125814, -0.95825
-0.256845, -0.123285, -0.958557
-0.256925, -0.120755, -0.958858
-0.257004, -0.118222, -0.959152
-0.257081, -0.115687, -0.95944
-0.257157, -0.113149, -0.959723
-0.257231, -0.110609, -0.959999
-0.257303, -0.108067, -0.960269
-0.257374, -0.105523, -0.960533
-0.257443, -0.102977, -0.960791
-0.257511, -0.100429, -0.961042
-0.257576, -0.097879, -0.961288
-0.25764, -0.0953269, -0.961527
-0.257703, -0.092773, -0.96176
-0.257764, -0.0902173, -0.961987
-0.257823, -0.0876597, -0.962207
-0.25788, -0.0851005, -0.962422
-0.257936, -0.0825395, -0.96263
-0.25799, -0.0799769, -0.962832
-0.258042, -0.0774127, -0.963027
-0.258093, -0.074847, -0.963216
-0.258142, -0.0722798, -0.963399
-0.258189, -0.0697111, -0.963576
-0.258235, -0.0671411, -0.963746
-0.258279, -0.0645697, -0.96391
-0.258321, -0.0619971, -0.964068
-0.258362, -0.0594232, -0.964219
-0.2584, -0.0568481, -0.964364
-0.258438, -0.0542719, -0.964502
-0.258473, -0.0516946, -0.964634
-0.258507, -0.0491163, -0.96476
-0.258539, -0.046537, -0.964879
-0.258569, -0.0439567, -0.964992
-0.258597, -0.0413756, -0.965099
-0.258624, -0.0387936, -0.965199
-0.258649, -0.0362109, -0.965292
-0.258673, -0.0336274, -0.96538
-0.258694, -0.0310433, -0.96546
-0.258714, -0.0284586, -0.965535
-0.258732, -0.0258732, -0.965603
-0.258749, -0.0232874, -0.965664
-0.258764, -0.0207011, -0.965719
-0.258777, -0.0181144, -0.965767
-0.258788, -0.0155273, -0.965809
-0.258797, -0.0129399, -0.965845
-0.258805, -0.0103522, -0.965874
-0.258811, -0.00776434, -0.965897
-0.258816, -0.00517631, -0.965913
-0.258818, -0.00258818, -0.965923
-0.258819, 0, -0.965926
-0.258818, 0.00258818, -0.965923
-0.258816, 0.00517631, -0.965913
-0.258811, 0.00776434, -0.965897
-0.258805, 0.0103522, -0.965874
-0.258797, 0.0129399, -0.965845
-0.258788, 0.0155273, -0.965809
-0.258777, 0.0181144, -0.965767
-0.258764, 0.0207011, -0.965719
